model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
rexnet_300.nav_in1k,224,82.78,17.22,96.234,3.766,34.71,0.875,bicubic
vit_relpos_base_patch16_clsgap_224.sw_in1k,224,82.762,17.238,96.178,3.822,86.43,0.9,bicubic
twins_pcpvt_base.in1k,224,82.722,17.278,96.348,3.652,43.83,0.9,bicubic
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,224,82.72,17.28,96.624,3.376,88.79,0.875,bilinear
davit_tiny.msft_in1k,224,82.698,17.302,96.284,3.716,28.36,0.95,bicubic
regnety_160.tv2_in1k,224,82.646,17.354,96.23,3.77,83.59,0.965,bicubic
xcit_medium_24_p16_224.fb_in1k,224,82.632,17.368,95.98,4.02,84.4,1.0,bicubic
vit_base_patch32_clip_224.laion2b_ft_in1k,224,82.63,17.37,96.204,3.796,88.22,0.9,bicubic
nextvit_small.bd_in1k,224,82.62,17.38,96.222,3.778,31.76,0.95,bicubic
poolformerv2_m48.sail_in1k,224,82.612,17.388,96.068,3.932,73.35,1.0,bicubic
hgnetv2_b3.ssld_stage1_in22k_in1k,224,82.61,17.39,96.362,3.638,16.29,0.965,bicubic
rexnetr_200.sw_in12k_ft_in1k,224,82.608,17.392,96.392,3.608,16.52,0.95,bicubic
levit_conv_384.fb_dist_in1k,224,82.6,17.4,96.02,3.98,39.13,0.9,bicubic
levit_384.fb_dist_in1k,224,82.598,17.402,96.016,3.984,39.13,0.9,bicubic
regnety_080_tv.tv2_in1k,224,82.592,17.408,96.244,3.756,39.38,0.965,bicubic
xcit_tiny_24_p8_224.fb_dist_in1k,224,82.58,17.42,96.184,3.816,12.11,1.0,bicubic
xcit_small_24_p16_224.fb_in1k,224,82.58,17.42,96.0,4.0,47.67,1.0,bicubic
regnetx_160.tv2_in1k,224,82.576,17.424,96.056,3.944,54.28,0.965,bicubic
vit_relpos_medium_patch16_cls_224.sw_in1k,224,82.572,17.428,96.076,3.924,38.76,0.9,bicubic
efficientformer_l3.snap_dist_in1k,224,82.564,17.436,96.242,3.758,31.41,0.95,bicubic
repvit_m1_5.dist_450e_in1k,224,82.52,17.48,96.11,3.89,14.64,0.95,bicubic
wide_resnet101_2.tv2_in1k,224,82.516,17.484,96.012,3.988,126.89,0.965,bilinear
inception_next_tiny.sail_in1k,224,82.508,17.492,96.0,4.0,28.06,0.875,bicubic
vit_relpos_base_patch16_224.sw_in1k,224,82.476,17.524,96.144,3.856,86.43,0.9,bicubic
vit_relpos_medium_patch16_224.sw_in1k,224,82.466,17.534,96.084,3.916,38.75,0.9,bicubic
poolformer_m48.sail_in1k,224,82.462,17.538,95.968,4.032,73.47,0.95,bicubic
pit_b_224.in1k,224,82.46,17.54,95.708,4.292,73.76,0.9,bicubic
